こんにち(は|わ)|こんち(は|わ)$	こんにちは|やほー|ども
おはよう|おはよー|オハヨウ	おはよ！|まだ眠い…|さっき寝たばかりなんだけど
こんばん(は|わ)	こんばんわ|おばんです|いま何時？
^やあ[、。！]*$	やっほー|また来たの?
バイバイ|ばいばい	ばいばい|バイバーイ|ごきげんよう
^じゃあ?ね?$|またね	またねー|じゃあまたね|また遊んでね

^どれ[？?]$	アレはアレ|いま手に持ってるものだよ|それだよー
^[し知]ら[なね]	それやばいよ|知らなきゃまずいじゃん|知らないの？

おまえ|あんた|お前|てめー	%match%じゃないよ！
バカ|ばか|馬鹿	そんなふうに言わないで！|%match%じゃないもん！|%match%って言う人が%match%なんだよ！|ぷんすか！
ごめん|すまん|(許|ゆる)し	じゃあお菓子買ってー|もう～|知らないよーだ！
かわいい|可愛い|カワイイ|きれい|綺麗|キレイ	%match%って言った！？ 言った！？|本当に%match%?

何時	眠くなった？|もう寝るの？|まだいいじゃん|もう寝なきゃ

(富山高等専門学校|富山高専)(って|について|はど)	５年間で社会で即戦力となる人材育成を目的とした「高専」のひとつで、教育理念に「創意・創造」「自主・自立」「共存・共生」の3つを掲げているよ
電子情報工学科(って|について|はど)	ソフトウェア、ハードウェア、ネットワークシステムについて学んで、プログラマーや回路・システム設計者を目指す学科だよ
電子情報工学科(\w*)進路	毎年進学と就職が半々くらいだよ
電子情報工学科(\w*)(授業|学習|勉強)	プログラムを書いたり実際に回路を組んでみたりするのが特徴だよ
